capture_cost,penalty_services,penalty_biomass,CAPEX,aCAPEX,fixed_OPEX,energy_OPEX,other_OPEX,nominal,gross,captured,net,Name
148.6769898732113,356.69596711930853,0.0,229760.9215738425,26324.341527927056,7927.125139143221,7623.189407482125,0.0,317.312645026477,317.312645026477,281.6485329052078,35.66411212126923,Renova 
91.83161902977763,353.73476482847263,0.0,241269.10825005668,24068.1070896525,7202.826472418448,394.8366880870461,0.0,388.4880829349863,388.4880829349863,344.82426189055803,43.66382104442829,Renova 
76.0877316758408,291.88627218906527,0.0,181922.99832360633,15355.08094803918,3735.4644233225963,4714.054946283371,0.0,352.47323359939696,352.47323359939696,312.85727400917546,39.61595959022151,Renova 
78.58275998360696,328.47496495280393,0.0,276826.45376172365,18864.06253215539,5065.457351284957,841.1826594842374,0.0,355.13291979116997,355.13291979116997,315.2180268050138,39.91489298615619,Renova 
105.26524324851523,254.0495625055199,0.0,210676.48778065402,26252.1677101827,6504.256204618893,-839.8584045102448,0.0,341.5946332943802,341.5946332943802,303.2013656676895,38.39326762669066,Renova 
122.80147938433163,315.78298228293517,0.0,226136.43894800698,25447.593143304304,8184.577773436754,7051.701815965735,0.0,373.24893241030867,373.24893241030867,331.29790403728384,41.951028373024826,Renova 
68.74757676192024,221.05519368992975,0.0,201404.9363637601,20966.5622568363,7965.37112963517,-4150.889793222576,0.0,406.10850320145215,406.10850320145215,360.4642484937052,45.64425470774694,Renova 
86.05935689064079,339.0543431149068,0.0,156195.65984456852,17664.746166022916,3940.1178974368845,852.1924339303821,0.0,293.99139645544994,293.99139645544994,260.948458235951,33.04293821949892,Renova 
97.87579716765934,235.44695547866456,0.0,207512.91051545605,18355.131911281507,8526.511142687736,-24.971478882431985,0.0,309.1411099591078,309.1411099591078,274.39543127379955,34.745678685308235,Renova 
107.45343650703734,309.4282253402565,0.0,222299.24313163717,24667.88100989495,6898.432050997561,8407.721893674716,0.0,419.11920764689046,419.11920764689046,372.01262476095167,47.10658288593879,Renova 
108.99008917125734,282.1254155944776,0.0,253267.01708927954,26410.620385863713,6914.371742005091,6339.782199646204,0.0,410.01322552372335,410.01322552372335,363.93010253610595,46.0831229876174,Renova 
91.87009817793191,321.8901001083554,0.0,269397.96095558215,20941.0154648786,6002.628719820547,161.86304487754404,0.0,332.4017060324107,332.4017060324107,295.0416704364391,37.36003559597157,Renova 
146.45386466992883,407.06547822928127,0.0,272601.3939429887,28427.790527055677,4943.39170482403,4079.8294931989685,0.0,288.09956591131964,288.09956591131964,255.71883548094883,32.38073043037082,Renova 
91.1676575214844,297.1483375424812,0.0,249026.83683861053,20473.331061600056,5725.137834318858,-2051.4723283238113,0.0,298.4023301842275,298.4023301842275,264.8636284408719,33.5387017433556,Renova 
134.17495857020216,252.25179651283096,0.0,261877.60729014187,21677.530591909177,5388.789461426971,7371.396801938086,0.0,289.1630300882541,289.1630300882541,256.6627724148389,32.500257673415206,Renova 
125.84044104549913,294.4101537817058,0.0,218307.64270482198,22747.467699892528,6731.634409125119,4844.0362440871895,0.0,307.2887388719702,307.2887388719702,272.75125601868234,34.537482853287884,Renova 
131.9744799928607,265.347118568958,0.0,287649.1438110641,30127.48756460877,8298.528831488657,3962.9065135522783,0.0,361.8614406086425,361.8614406086425,321.19030066981725,40.67113993882526,Renova 
103.59106866085524,349.59527522252364,0.0,232776.17427991566,26093.359163402485,7790.484562711421,863.5248036683201,0.0,377.9022632846621,377.9022632846621,335.4282273459399,42.47403593872224,Renova 
110.85561127641607,291.4024975837619,0.0,264294.47800730966,20487.810464012982,5875.526073664641,9510.749756630667,0.0,364.5885734229962,364.5885734229962,323.6109194766608,40.97765394633541,Renova 
89.49984706385064,324.4172016554253,0.0,262430.032039005,22173.001163667628,6988.415972927667,305.00602290947734,0.0,370.92406791438583,370.92406791438583,329.2343409087945,41.68972700559135,Renova 
73.76940918090467,305.2452127357644,0.0,175195.8805113883,16171.540294468974,3154.0192158329537,3274.7587468582765,0.0,345.1581524055825,345.1581524055825,306.36436577304636,38.793786632536126,Renova 
99.97998236373358,399.3307803797963,0.0,200355.33055232267,16752.516093695893,5024.076313836587,6169.113031875968,0.0,314.9067045747779,314.9067045747779,279.51300629100115,35.39369828377676,Renova 
110.88606193409747,253.77081242080143,0.0,242129.4504429828,22482.07307849727,4726.297434628337,11888.251816134423,0.0,397.2301140315146,397.2301140315146,352.5837390861278,44.64637494538675,Renova 
117.39567591839592,313.6133465432283,0.0,212959.19371002135,17233.479538280706,5346.011716888813,6733.243627434664,0.0,281.30932282859095,281.30932282859095,249.69177657769995,31.617546250890996,Renova 
73.82552770621811,308.22773159458654,0.0,254692.40042030616,19876.19941511191,5341.187243700864,-173.1436419439167,0.0,382.1916858224546,382.1916858224546,339.23554351727927,42.95614230517532,Renova 
127.87290086595047,250.60729546726864,0.0,242108.35222468234,19416.59989988192,9949.109092179378,7572.069217936683,0.0,325.4409040428831,325.4409040428831,288.8632224643121,36.577681578571,Renova 
100.23785934117643,395.74186619741545,0.0,208790.4417019885,23847.274231892057,7042.174147855774,5165.390460943222,0.0,405.23939767919103,405.23939767919103,359.6928254221026,45.54657225708843,Renova 
91.27126940413966,267.8947311354723,0.0,195999.34888800245,16946.766421572487,5528.898490418373,9504.248931715518,0.0,394.7508597167045,394.7508597167045,350.383138664399,44.36772105230551,Renova 
106.10452399181587,334.48519565277866,0.0,236902.53587874185,22731.650727561468,5607.837194073591,2669.378116811663,0.0,329.25461377811115,329.25461377811115,292.24829320980245,37.006320568308695,Renova 
