CEPCI,COP,Tlow,Tsupp,WACC,alpha,beta,cHEX,cHP,cMEA,cbio,celc,cheat,dTmin,dTreb,fixed,i,ownercost,rescalation,t,time,yexpenses,heat_pump,rate,scenario,policy,model,Name
1.0074018017186477,2.7997597999853676,49.74043461883242,80.06146970247839,0.06373717776274722,6.8844204486980045,0.685295748940264,0.5375821590750339,0.8084740789216084,2.3906991586755013,33.87159818771242,66.98866743778511,44.197185187311916,7.186227405544209,12.208667935158342,0.0677107317096554,0.10628258497723014,0.19868651529744807,0.056315993265563816,26,4540.43459614021,3,True,0.8876057645975837,10,0,CCSproblem,Renova 
1.1963115629679455,2.8001765644336603,49.358269110250475,81.42201435735933,0.04086659212335795,6.224946701881523,0.6663460560643324,0.5178294228982105,0.7952992090713804,2.2542254072428047,44.77796865199521,26.107275175802933,75.36306192729435,11.038139787356217,10.829063711572612,0.061954729283431265,0.09106398689771936,0.23869952167184313,0.05758239989525869,28,5558.885722310298,4,True,0.8876057645975837,11,0,CCSproblem,Renova 
1.0466086220386686,3.074134777774473,47.29380291725372,83.65362948537143,0.04389207622950957,6.16517803099043,0.6289207595864974,0.5015582610401412,0.8398658259115985,1.6433668462312616,47.26629546662119,57.72393210452374,69.56299348334254,6.227308118334573,8.484196116139126,0.04327091791623196,0.0681747087647276,0.10021649689841987,0.043047998386169614,25,5043.5483398859615,6,True,0.8876057645975837,12,0,CCSproblem,Renova 
1.0215243101398181,2.4828997123287513,46.9280117792843,95.68580613338116,0.0899725359252573,6.673032847205971,0.6832633584148664,0.5290761658328297,0.8523079045438939,1.9486531863527763,35.000864159585724,50.84818574884602,128.2907215667831,7.33407800174278,7.734111376546725,0.044391383153523326,0.05139546735247965,0.3386823974411595,0.04461365371597576,28,5081.605856311111,4,True,0.8876057645975837,13,0,CCSproblem,Renova 
1.0839271181831553,3.7905966068597587,52.0871371403149,89.43501156314223,0.04867773018954378,6.902191463630151,0.6451386718979233,0.5427293491347123,0.7632785385254041,2.0823295817893994,34.56164107711292,42.55962918954946,118.72638357403521,11.730153274880696,9.109126856054262,0.060777825060958315,0.10882122453027535,0.18749372865950786,0.026382706058721766,20,4887.886175277431,4,True,0.8876057645975837,14,0,CCSproblem,Renova 
1.1386337567192357,2.9420360593227555,50.20372155491276,87.95214452944593,0.06658288546132413,6.775918327136146,0.6554767360943894,0.5109258091391754,0.9361711654639706,1.8112906022728676,52.097832583195654,62.083732627062325,52.22588126497916,8.736475701981572,8.320800725702167,0.07106615764890571,0.09616984893265543,0.13278975488103076,0.04960965674476744,21,5340.828335242533,3,True,0.8876057645975837,15,0,CCSproblem,Renova 
1.03839689768424,3.7332381632195464,43.72564480600429,87.24509238630372,0.07843991770964111,6.395831758170193,0.67970651682806,0.5472085283502435,0.8811942000298197,2.058097859561987,48.3229975276103,24.236704518265867,124.70491867981532,7.697551762026546,11.396579779664119,0.07270562468401401,0.09277178115178253,0.1277671886189239,0.020377065842416435,25,5811.016757837469,3,True,0.8876057645975837,16,0,CCSproblem,Renova 
1.0065860933264477,2.5708061358757526,48.8440581680839,99.38120739623899,0.035297943844479256,6.517988094572002,0.6009945879506596,0.577684570131493,0.8726200593613318,1.731884030558568,58.1552165236318,44.26024903789782,108.00277016199462,9.538139167985193,7.406580818656284,0.05036662954740968,0.10343925304921797,0.14399685553536673,0.042101470202455166,25,4206.730265421712,2,True,0.8876057645975837,17,0,CCSproblem,Renova 
1.1238884708138448,3.3946151390831014,45.04681022710413,95.40838161745761,0.06117518461664263,6.983042950790652,0.6355815751616927,0.5718282123129499,0.9238337004304689,1.5349937441900128,30.891796268393858,63.79880957889105,146.3648161628485,8.176755081245814,9.669815345293966,0.07900509874241568,0.07859402702622192,0.11509567143403884,0.031011702804757964,29,4423.507895912551,4,True,0.8876057645975837,18,0,CCSproblem,Renova 
1.079278063711877,2.868544878379464,43.33314068187976,82.71153954140223,0.05009700480890593,6.487849267152757,0.6212615852905009,0.521860153508837,0.8184346452390032,2.160573850456772,53.03306636123529,72.78916628863276,72.32149131771834,11.900122610397114,8.095492427912314,0.07600034542330836,0.10480180702035548,0.3765978706771125,0.023478547538488912,29,5997.187254066179,5,True,0.8876057645975837,19,0,CCSproblem,Renova 
