CO2;Flow;Rcapture;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
13;200;94;0,935412606;135333,219;121,088715;203,4047282;4528,44802;2652,60477;2472,28567;2229,9849;2727,03701;2184,58241;123,339714;0,061244231;24;10,9022;-1114,03229;332,2492871;303,15;-74634,8767;423,15;294,15;-26415,14;366,6032317;303,15;-25837,6152;322,7160931;313,15;-2623,52033;367,4494276;293,15;-3680,46629;105,4412811;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-36177,5804;331,989618;313,15;-8135,00257;459,2314826;423,15;-12603,495;2,56605692;-15604,691;376,9693477;303,6846362;-1664,84138;354,9594962;293,15;-2863,53055;358,837232;293,15
13;200;90;0,894374836;124801,259;121,129368;195,4735196;4528,44802;2536,30032;2363,88605;2132,20623;2607,35364;2088,70612;118,042632;0,066451486;24;10,7735366;-1201,16949;334,4669581;303,15;-74634,8767;423,15;294,15;-23506,4616;365,382944;303,15;-20769,4539;321,5682994;313,15;-2508,4928;367,4492789;293,15;-3519,10833;105,44112;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-43815,2548;334,207904;313,15;-8135,00257;459,2314826;423,15;-12050,3567;2,566056932;-14919,837;376,9693477;303,6846362;-1591,77533;354,9594962;293,15;-2738,00981;358,8301375;293,15
13;200;86;0,860868154;118461,25;121,146793;191,0935883;4528,44802;2441,26786;2275,31335;2052,31566;2509,61758;2010,41144;113,657441;0,064263231;24;10,6432119;-1215,81708;334,8536441;303,15;-74634,8767;423,15;294,15;-22008,2285;364,9059422;303,15;-18419,4864;321,042962;313,15;-2414,50264;367,4492266;293,15;-3387,25612;105,4410627;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-45494,6774;334,5974916;313,15;-8135,00257;459,2314826;423,15;-11598,6518;2,566056932;-14360,5703;376,9693477;303,6846362;-1532,10799;354,9594962;293,15;-2635,42231;358,827469;293,15
13;200;82;0,826935058;112769,641;121,160061;187,3182311;4528,44802;2345,01469;2185,60309;1971,39994;2410,63776;1931,12042;109,197058;0,060789308;24;10,5140761;-1217,15357;334,9034025;303,15;-74634,8767;423,15;294,15;-20776,0727;364,6041814;303,15;-16543,8232;320,6127571;313,15;-2319,30478;367,4491943;293,15;-3253,70801;105,4410295;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-45974,9646;334,6503472;313,15;-8135,00257;459,2314826;423,15;-11141,1987;2,566056938;-13794,1866;376,9693477;303,6846362;-1471,68135;354,9594962;293,15;-2531,54333;358,8268712;293,15
13;200;78;0,778745922;105312,914;121,175549;182,5180618;4528,44802;2208,32199;2058,20244;1856,48304;2270,12735;1818,55994;102,848553;0,055272916;24;10,3387567;-1208,49956;334,7047362;303,15;-74634,8767;423,15;294,15;-19266,8095;364,3362207;303,15;-14312,7322;320,0754219;313,15;-2184,11119;367,4491705;293,15;-3064,04827;105,4410028;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-45664,1511;334,4560553;313,15;-8135,00257;459,2314826;423,15;-10491,8043;2,566056917;-12990,1558;376,9693477;303,6846362;-1385,9005;354,9594962;293,15;-2385,20552;358,8592211;293,15
13;100;94;0,942751955;69751,5028;121,066785;103,4716174;2264,22401;1336,67303;1245,80896;1123,71114;1374,208;1100,85437;62,1150482;0,027390063;22;7,69717912;-1044,4094;330,3301808;303,15;-37317,4383;423,15;294,15;-13929,7064;367,3622264;303,15;-14368,2248;323,4084621;313,15;-1322,01667;367,4495226;293,15;-1854,61745;105,4413826;293,15;-6541,1684;293,15;283,15;-23988,9345;337,792244;303,15;-14975,3163;329,8665631;313,15;-4067,50129;459,2314826;423,15;-6351,15094;2,566056927;-7863,51305;376,9693477;303,6846362;-838,946569;354,9594962;293,15;-1442,91693;358,8406388;293,15
13;100;90;0,898583896;63521,9668;121,119824;98,6463294;2264,22401;1274,12042;1187,50773;1071,12312;1309,83679;1049,28771;59,2798551;0,032916071;22;7,64034301;-1191,09177;333,9903658;303,15;-37317,4383;423,15;294,15;-12134,7208;365,8490306;303,15;-10975,4837;321,8585702;313,15;-1260,15095;367,4493327;293,15;-1767,83526;105,4411751;293,15;-6541,1684;293,15;283,15;-23988,9345;337,792244;303,15;-20696,6636;333,5338014;313,15;-4067,50129;459,2314826;423,15;-6053,64777;2,566056929;-7495,1672;376,9693477;303,6846362;-799,648296;354,9594962;293,15;-1375,44317;358,8324414;293,15
13;100;86;0,852330463;59097,2317;121,144606;95,586561;2264,22401;1208,53209;1126,37768;1015,98442;1242,38198;995,250818;56,2546547;0,031740502;22;7,52031052;-1216,81952;334,6409293;303,15;-37317,4383;423,15;294,15;-11081,9408;365,199722;303,15;-9298,331;321,1188093;313,15;-1195,28206;367,449258;293,15;-1676,83513;105,4410949;293,15;-6541,1684;293,15;283,15;-23988,9345;337,792244;303,15;-22025,034;334,1921961;313,15;-4067,50129;459,2314826;423,15;-5741,89313;2,566056922;-7109,17628;376,9693477;303,6846362;-758,467495;354,9594962;293,15;-1304,6466;358,8289201;293,15
13;100;82;0,823314189;56659,9737;121,156019;94,0339258;2264,22401;1167,38007;1088,02301;981,387824;1200,06643;961,352561;54,3478787;0,03033354;22;7,44490923;-1219,05129;334,7034374;303,15;-37317,4383;423,15;294,15;-10553,5367;364,9543748;303,15;-8489,8275;320,7520626;313,15;-1154,58142;367,4492334;293,15;-1619,73769;105,4410682;293,15;-6541,1684;293,15;283,15;-23988,9345;337,792244;303,15;-22261,6339;334,2583346;313,15;-4067,50129;459,2314826;423,15;-5546,32417;2,566056925;-6867,03763;376,9693477;303,6846362;-732,634081;354,9594962;293,15;-1260,22409;358,8277711;293,15
13;100;78;0,780772698;53352,5075;121,169777;91,9842901;2264,22401;1107,04503;1031,78936;930,666476;1138,03656;911,661497;51,545746;0,027988717;22;7,33789748;-1212,94093;334,5611505;303,15;-37317,4383;423,15;294,15;-9880,17665;364,7313396;303,15;-7484,73842;320,2780389;313,15;-1094,90784;367,4492089;293,15;-1536,02387;105,4410443;293,15;-6541,1684;293,15;283,15;-23988,9345;337,792244;303,15;-22186,2434;334,120349;313,15;-4067,50129;459,2314826;423,15;-5259,64189;2,566056923;-6512,08939;376,9693477;303,6846362;-694,765178;354,9594962;293,15;-1195,7113;358,861206;293,15
13;50;94;0,94345392;35142,1572;121,060956;52,5172209;1132,112;668,829741;623,364235;562,270304;687,615594;550,837017;31,0748983;0,013239581;21;5,43593126;-1023,62178;329,7373822;303,15;-18658,7192;423,15;294,15;-7068,86325;367,5954002;303,15;-7397,61221;323,6133853;313,15;-661,496072;367,4495481;293,15;-927,99231;105,4414117;293,15;-3270,54808;293,15;283,15;-11994,3338;337,7922444;303,15;-6779,69721;328,81602;313,15;-2033,75064;459,2314826;423,15;-3177,9399;2,566056926;-3934,68398;376,9693477;303,6846362;-419,785611;354,9594962;293,15;-722,020609;358,8449831;293,15
13;50;90;0,897406376;31883,0584;121,116871;50,0657706;1132,112;636,225836;592,976264;534,860142;654,064295;523,959648;29,597259;0,016346176;21;5,40382052;-1187,65089;333,8006255;303,15;-18658,7192;423,15;294,15;-6125,88877;366,0347207;303,15;-5576,81773;321,9532411;313,15;-629,250211;367,4493534;293,15;-882,75937;105,4411974;293,15;-3270,54808;293,15;283,15;-11994,3338;337,7922444;303,15;-9800,88462;332,8991896;313,15;-2033,75064;459,2314826;423,15;-3022,8765;2,566056928;-3742,69625;376,9693477;303,6846362;-399,302723;354,9594962;293,15;-686,819878;358,8334643;293,15
13;50;86;0,865919225;30315,5634;121,135393;48,9946576;1132,112;613,903204;572,170962;516,093801;631,104526;505,566972;28,5691903;0,016126352;21;5,34844371;-1211,86415;334,4001092;303,15;-18658,7192;423,15;294,15;-5743,35514;365,5442024;303,15;-4955,77007;321,4080781;313,15;-607,172468;367,4492958;293,15;-851,788131;105,4411354;293,15;-3270,54808;293,15;283,15;-11994,3338;337,7922444;303,15;-10369,6145;333,511365;313,15;-2033,75064;459,2314826;423,15;-2916,76377;2,566056926;-3611,31552;376,9693477;303,6846362;-385,285908;354,9594962;293,15;-662,724866;358,8307361;293,15
13;50;82;0,820607329;28375,3208;121,154041;47,7314749;1132,112;581,772647;542,224503;489,082408;598,065726;479,100159;27,081456;0,015124833;21;5,26663764;-1219,32718;334,5887049;303,15;-18658,7192;423,15;294,15;-5316,30725;365,1402243;303,15;-4296,53893;320,8215453;313,15;-575,394273;367,4492514;293,15;-807,208044;105,4410879;293,15;-3270,54808;293,15;283,15;-11994,3338;337,7922444;303,15;-10628,8245;333,7114452;313,15;-2033,75064;459,2314826;423,15;-2764,06898;2,566056926;-3422,26042;376,9693477;303,6846362;-365,115899;354,9594962;293,15;-628,041276;358,8286531;293,15
13;50;78;0,782404853;26887,5199;121,166383;46,7947021;1132,112;554,682312;516,975688;466,307739;570,21327;456,788035;25,8233308;0,014093151;21;5,19961623;-1214,54459;334,4748035;303,15;-18658,7192;423,15;294,15;-5012,90898;364,9487146;303,15;-3841,20424;320,3971546;313,15;-548,60102;367,4492322;293,15;-769,620518;105,4410683;293,15;-3270,54808;293,15;283,15;-11994,3338;337,7922444;303,15;-10609,2961;333,6040828;313,15;-2033,75064;459,2314826;423,15;-2635,34381;2,566056924;-3262,88269;376,9693477;303,6846362;-348,112125;354,9594962;293,15;-598,795618;358,8276545;293,15
