capture_cost,penalty_services,penalty_biomass,CAPEX,aCAPEX,fixed_OPEX,energy_OPEX,other_OPEX,nominal,gross,captured,net,Name
131.1471151069351,514.4513684860029,502.875,568824.6925847516,49781.63567799415,17296.441352187005,90970.81382508272,9099.367283038118,1785.8365628559495,1939.049728622665,1274.5096070318602,664.5401215908048,Monsteros
132.07792037197305,510.0472511719472,502.875,581387.1789116634,67104.73163654744,16863.73335519087,83273.89065564629,8329.606788051917,1855.6720421439722,2012.1827935736924,1329.3059274477562,682.8768661259362,Monsteros
106.61721438684151,507.7576872343827,502.875,371749.5934895716,33881.80951286343,12274.770457537297,80737.7470607439,8076.173454389498,1794.18606153351,1956.0144527777786,1265.9353488247948,690.0791039529838,Monsteros
115.77419801082554,484.98030038427794,502.875,403176.6194584514,44784.31834045421,11122.741998217763,90260.0213466985,9027.629518871916,1892.4867101018272,2060.3547144522354,1340.494806880293,719.8599075719424,Monsteros
91.00454083059685,538.4232167153407,502.875,598938.5164677445,61482.01059417038,15105.084489540654,42936.98222312173,4295.312316881632,1905.2255543912793,2068.208656965497,1360.5847410867304,707.6239158787666,Monsteros
104.5698119766336,461.46647310605437,502.875,422905.3407309477,42351.79991024785,12032.882796218108,72512.88464892485,7253.539177756385,1824.9564523482522,1992.1476486682755,1282.8856052942278,709.2620433740476,Monsteros
91.05530220237966,546.7265878208037,502.875,592632.848992864,70986.50884789966,11037.845360756904,41009.6217794224,4102.954100637234,1952.1074727173236,2117.9075988468035,1396.2605912409304,721.6470076058731,Monsteros
129.93202906548584,592.06347901757,502.875,470209.9443119018,48845.71791010951,11259.245527295268,106137.438818346,10615.295200835388,1919.6887115158613,2089.212563623422,1361.1555112977553,728.0570523256665,Monsteros
87.06915048894133,489.95091726973413,502.875,452664.8138952727,42782.237020070315,10670.077708136587,55383.13148462385,5540.030988269756,1825.794157421632,1976.6795679932054,1313.6165514285954,663.06301656461,Monsteros
91.50124525577866,568.6930199640242,502.875,588156.2131037026,41941.406050604746,14575.257197185094,58180.29144938148,5820.21744101596,1869.636902954886,2039.391399700999,1317.109639342052,722.2817603589469,Monsteros
93.87754851248592,478.729569183497,502.875,450626.4792089486,43943.706945032754,9752.214931115044,65706.74664923687,6572.898005966095,1894.3692167680254,2062.3577626550787,1341.9136793351154,720.4440833199633,Monsteros
150.0442169866399,538.6501514040858,502.875,502163.8138142917,45330.98760867197,15230.150437835013,125146.32475153633,12516.269691548743,1840.7429184883167,1994.6408380674202,1321.1021155666542,673.538722500766,Monsteros
85.98262222032773,627.7869482147448,502.875,512653.2665962656,50204.55940410881,10424.691292280391,52168.92744480588,5218.913676326692,1897.2997758446525,2050.014927787023,1372.5691165257408,677.4458112612824,Monsteros
96.43201065410426,468.1822984926842,502.875,575372.9335675563,42666.00882848583,18057.969031538552,62359.805419807795,6237.949947354257,1895.8271850374736,2064.966831005181,1341.066439971428,723.9003910337531,Monsteros
81.36235344127952,566.9039296302938,502.875,506734.609743715,45346.98766383019,13919.996267404616,48959.15122549988,4897.941205374511,1939.4701508158942,2102.483764808283,1390.3736995974753,712.1100652108078,Monsteros
101.6561086367704,480.7637151022266,502.875,526731.2645321777,56709.57266707586,10144.218253819892,66943.64064164321,6696.27304797098,1905.351312304909,2056.728033110453,1382.0488162940703,674.6792168163827,Monsteros
117.53524233125404,581.3257249181336,502.875,522120.28043359774,39011.57401632515,16781.164649054484,92982.74495825502,9300.039676723141,1875.5729693026797,2033.0239460945456,1344.9202142694148,688.1037318251308,Monsteros
87.55723678312528,544.1326653241248,502.875,435510.6004599074,36002.15689613242,9859.268604146419,72371.69522320712,7238.884964340939,1987.951594268539,2150.7468306272986,1433.0283857474228,717.7184448798757,Monsteros
147.03014374742176,555.7267303585842,502.875,600127.0749696798,60594.51572191233,21095.990751669087,112884.60610938135,11290.224116530964,1944.695563154167,2104.8668542989417,1400.1573517682405,704.7095025307012,Monsteros
107.37362431592749,482.505800847854,502.875,486523.34084814414,50462.52697506752,18934.441595424443,72523.98306920484,7254.187706767348,1940.8223387101748,2105.0551548150065,1389.3089694685473,715.7461853464592,Monsteros
102.497030773345,485.5871592967134,502.875,359243.54882707365,36268.16691828105,12510.346671205456,82626.40167910188,8264.477727931568,1905.3627674202032,2067.2787564734067,1362.6676982026477,704.611058270759,Monsteros
88.27188870140263,486.44807572526884,502.875,601803.7138509856,41032.9566046124,16915.017708174186,48473.67385124823,4849.017529179314,1795.9683295075138,1961.570801398597,1260.5447479390577,701.0260534595393,Monsteros
111.59921067635383,476.24066212884486,502.875,527739.1018267794,36992.03939132033,12339.608939337515,83729.82925258984,8374.976553103474,1776.3102478512292,1928.8964531816341,1267.3607033523526,661.5357498292815,Monsteros
117.93457575568624,584.5791304848696,502.875,441305.6338438667,48057.83331547572,14306.49514474876,89783.73623197526,8979.971858732466,1924.4138755877118,2093.407412466772,1366.2493422177201,727.1580702490517,Monsteros
104.28317117237259,476.40360498590724,502.875,655279.8984133508,59200.42850095493,12471.226056945332,59922.83216634306,5994.3312409114,1842.8388658745434,1998.6672188877662,1319.3770041546807,679.2902147330856,Monsteros
108.77004425861023,464.73814566794994,502.875,617814.3756043712,54186.97949954434,14906.781633136652,69062.30279913032,6908.233217841955,1855.5468982629166,2009.6216933992523,1333.6787544624906,675.9429389367617,Monsteros
95.36566588447444,548.0388792509291,502.875,467469.82151897834,40529.14581231602,12064.335367949476,76487.44043079289,7651.0361600779315,1990.2783944855503,2153.775419955643,1433.7650401012543,720.0103798543887,Monsteros
