Name,Latitude,Longitude
Vartaverket KVV 8 , 59.352684742769185, 18.100807113123917
Renova , 57.731821114137524, 12.051456572911347
Vasteras Block 5 , 59.58629560860089, 16.51439162965197
Skutskar, 60.643481181971424, 17.389029898104067
Ostrand, 62.4752719068915, 17.33011166821359
